,namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
29,,,,,,,,,,,,,,,,,,,,,,,Alexandra,Louis,,,,Moore,,,,,,,,,,,,,,,Magnificent,,,,,Abelia,Sirius,Malcolm,Queen,"Edmund Cartwright",Supremacy,Abelia,,,,,,,,"Edmund Cartwright",,Sirius,Supremacy,,
30,,,,,,,,,,,,,,,,,,,,,,,Sarah,Merritt,,,,Murray,,,,,,,,,,,,,,,Majestic,,,,,Acanthus,Spartan,Montrose,"Prince of Wales","Walter Raleigh",Lionheart,Acanthus,,,,,,,,"Walter Raleigh",,Spartan,Lionheart,,
31,,,,,,,,,,,,,,,,,,,,,,,Martha,Earl,,,,McLaughlin,,,,,,,,,,,,,,,Mars,,,,,Aconite,Astraea,Stuart,Albemarle,"Bear Grylls","King Arthur",Aconite,,,,,,,,"Bear Grylls",,Astraea,"King Arthur",,
32,,,,,,,,,,,,,,,,,,,,,,,Bethany,Alfred,,,,Martin,,,,,,,,,,,,,,,"Prince George",,,,,Alisma,Bonaventure,Barrington,Cornwallis,"Francis Drake",Excalibur,Alisma,,,,,,,,"Francis Drake",,Bonaventure,Excalibur,,
33,,,,,,,,,,,,,,,,,,,,,,,Rebecca,Vernon,,,,O'Neill,,,,,,,,,,,,,,,Victorious,,,,,Alyssum,Cambrian,Hughes,Duncan,"Robert Falcon Scott",Merlin,Alyssum,,,,,,,,"Robert Falcon Scott",,Cambrian,,,
34,,,,,,,,,,,,,,,,,,,,,,,Victoria,Edward,,,,Anderson,,,,,,,,,,,,,,,Canopus,,,,,Amaranthus,Charybdis,"Port Quebec",Exmouth,"Henry Hudson",,Amaranthus,,,,,,,,"Henry Hudson",,Charybdis,,,
35,,,,,,,,,,,,,,,,,,,,,,,Gabriella,George,,,,Scott,,,,,,,,,,,,,,,Glory,,,,,Anchusa,Flora,Exmouth,Montagu,"George Vancouver",,Anchusa,,,,,,,,"George Vancouver",,Flora,,,
36,,,,,,,,,,,,,,,,,,,,,,,Naomi,Paul,,,,MacDonald,,,,,,,,,,,,,,,Albion,,,,,Anemone,Forte,Hardy,Russell,,,Anemone,,,,,,,,,,Forte,,,
37,,,,,,,,,,,,,,,,,,,,,,,Lauren,Greg,,,,Reid,,,,,,,,,,,,,,,Ocean,,,,,Arabis,Fox,Inglefield,"King Edward VII",,,Arabis,,,,,,,,,,Fox,,,
38,,,,,,,,,,,,,,,,,,,,,,,Clara,Thomas,,,,Ross,,,,,,,,,,,,,,,Goliath,,,,,Arbutus,Hermione,Jervis,Commonwealth,,,Arbutus,,,,,,,,,,Hermione,,,
39,,,,,,,,,,,,,,,,,,,,,,,Laura,Robert,,,,Watson,,,,,,,,,,,,,,,Vengeance,,,,,Armeria,Eclipse,Kelly,Dominion,,,Armeria,,,,,,,,,,Eclipse,,,
40,,,,,,,,,,,,,,,,,,,,,,,Kayla,Gene,,,,Patterson,,,,,,,,,,,,,,,Formidable,,,,,Arrowhead,Diana,Laforey,Hindustan,,,Arrowhead,,,,,,,,,,Diana,,,
41,,,,,,,,,,,,,,,,,,,,,,,Nicole,Glen,,,,Morrison,,,,,,,,,,,,,,,Irresistible,,,,,Asphodel,Dido,Onslow,Britannia,,,Asphodel,,,,,,,,,,Dido,,,
42,,,,,,,,,,,,,,,,,,,,,,,Skye,Ronald,,,,Sanders,,,,,,,,,,,,,,,Implacable,,,,,Aster,Doris,Pakenham,"New Zealand",,,Aster,,,,,,,,,,Doris,,,
43,,,,,,,,,,,,,,,,,,,,,,,Eliza,Francis,,,,Harris,,,,,,,,,,,,,,,London,,,,,Aubrietia,Isis,Quilliam,Africa,,,Aubrietia,,,,,,,,,,Isis,,,
44,,,,,,,,,,,,,,,,,,,,,,,Patricia,Stephen,,,,Hughes,,,,,,,,,,,,,,,"New London",,,,,Auricula,Juno,Rotherham,Hibernia,,,Auricula,,,,,,,,,,Juno,,,
45,,,,,,,,,,,,,,,,,,,,,,,Linda,Jon,,,,Driscoll,,,,,,,,,,,,,,,Bulwark,,,,,Azalea,Minerva,Caesar,Swiftsure,,,Azalea,,,,,,,,,,Minerva,,,
46,,,,,,,,,,,,,,,,,,,,,,,Barbara,Richard,,,,Price,,,,,,,,,,,,,,,Venerable,,,,,Balsam,Talbot,Cavendish,Triumph,,,Balsam,,,,,,,,,,Talbot,,,
47,,,,,,,,,,,,,,,,,,,,,,,Jennifer,Mark,,,,Jenkins,,,,,,,,,,,,,,,Queen,,,,,Begonia,Venus,Chequers,"Lord Nelson",,,Begonia,,,,,,,,,,Venus,,,
48,,,,,,,,,,,,,,,,,,,,,,,Maria,Marcus,,,,Morgan,,,,,,,,,,,,,,,"Prince of Wales",,,,,Bellwort,Blake,Childers,Agamemnon,,,Bellwort,,,,,,,,,,Blake,,,
49,,,,,,,,,,,,,,,,,,,,,,,Susan,Scott,,,,Moss,,,,,,,,,,,,,,,Albemarle,,,,,Bergamot,Blenheim,Constance,Dreadnought,,,Bergamot,,,,,,,,,,Blenheim,,,
50,,,,,,,,,,,,,,,,,,,,,,,Margaret,Duncan,,,,Sinclair,,,,,,,,,,,,,,,Cornwallis,,,,,Bittersweet,Pallas,Cossack,Dreadnought,,,Bittersweet,,,,,,,,,,Pallas,,,
51,,,,,,,,,,,,,,,,,,,,,,,Dorothy,Felix,,,,Simpson,,,,,,,,,,,,,,,Duncan,,,,,Bluebell,Pandora,Crescent,Bellerophon,,,Bluebell,,,,,,,,,,Pandora,,,
52,,,,,,,,,,,,,,,,,,,,,,,Lisa,Douglas,,,,Zimmerman,,,,,,,,,,,,,,,Exmouth,,,,,Borage,Pearl,Crusader,Superb,,,Borage,,,,,,,,,,Pearl,,,
53,,,,,,,,,,,,,,,,,,,,,,,Nancy,Keith,,,,Young,,,,,,,,,,,,,,,Montagu,,,,,Bryony,Pelorus,Blackfly,Temeraire,,,Bryony,,,,,,,,,,Pelorus,,,
54,,,,,,,,,,,,,,,,,,,,,,,Helen,Howard,,,,York,,,,,,,,,,,,,,,Russell,,,,,Burdock,Persian,Butterfly,"St Vincent",,,Burdock,,,,,,,,,,Persian,,,
55,,,,,,,,,,,,,,,,,,,,,,,Sandra,Russell,,,,Youngfellow,,,,,,,,,,,,,,,"King Edward VII",,,,,Buttercup,Philomel,Caddisfly,Collingwood,,,Buttercup,,,,,,,,,,Philomel,,,
56,,,,,,,,,,,,,,,,,,,,,,,Donna,Clayton,,,,Winters,,,,,,,,,,,,,,,Commonwealth,,,,,Calendula,Phoebe,Cranefly,Vanguard,,,Calendula,,,,,,,,,,Phoebe,,,
57,,,,,,,,,,,,,,,,,,,,,,,Carol,Lee,,,,Worley,,,,,,,,,,,,,,,Dominion,,,,,Camellia,Phoenix,Dragonfly,Neptune,,,Camellia,,,,,,,,,,Phoenix,,,
58,,,,,,,,,,,,,,,,,,,,,,,Ruth,Steve,,,,Woodard,,,,,,,,,,,,,,,Hindustan,,,,,Campanula,Psyche,Firefly,"New London",,,Campanula,,,,,,,,,,Psyche,,,
59,,,,,,,,,,,,,,,,,,,,,,,Sharon,Clay,,,,Whitley,,,,,,,,,,,,,,,Britannia,,,,,Campion,Edgar,Gadfly,Hercules,,,Campion,,,,,,,,,,Edgar,,,
60,,,,,,,,,,,,,,,,,,,,,,,Michelle,Oliver,,,,Wheeler,,,,,,,,,,,,,,,Africa,,,,,Candytuft,Hawke,Grayfly,Orion,,,Candytuft,,,,,,,,,,Hawke,,,
61,,,,,,,,,,,,,,,,,,,,,,,Kimberly,Kenny,,,,Wentworth,,,,,,,,,,,,,,,Hibernia,,,,,Carnation,Endymion,Greenfly,Monarch,,,Carnation,,,,,,,,,,Endymion,,,
62,,,,,,,,,,,,,,,,,,,,,,,Deborah,Ralph,,,,West,,,,,,,,,,,,,,,Swiftsure,,,,,Celandine,"Royal Arthur",Hoverfly,Conqueror,,,Celandine,,,,,,,,,,"Royal Arthur",,,
63,,,,,,,,,,,,,,,,,,,,,,,Amelia,Andy,,,,Weaver,,,,,,,,,,,,,,,Triumph,,,,,Chrysanthemum,Gibraltar,Mayfly,Thunderer,,,Chrysanthemum,,,,,,,,,,Gibraltar,,,
64,,,,,,,,,,,,,,,,,,,,,,,Charlotte,Tony,,,,Webb,,,,,,,,,,,,,,,"Lord Nelson",,,,,Clarkia,Grafton,Sawfly,"King George V",,,Clarkia,,,,,,,,,,Grafton,,,
65,,,,,,,,,,,,,,,,,,,,,,,Isabella,Tyrone,,,,Welsh,,,,,,,,,,,,,,,Agamemnon,,,,,Clematis,"St George",Sedgefly,Centurion,,,Clematis,,,,,,,,,,"St George",,,
66,,,,,,,,,,,,,,,,,,,,,,,Ruby,Lawrence,,,,Sparks,,,,,,,,,,,,,,,Dreadnought,,,,,Clover,Theseus,Snakefly,Ajax,,,Clover,,,,,,,,,,Theseus,,,
67,,,,,,,,,,,,,,,,,,,,,,,Addison,Patrick,,,,Spencer,,,,,,,,,,,,,,,Bellerophon,,,,,Coltsfoot,Crescent,Stonefly,Audacious,,,Coltsfoot,,,,,,,,,,Crescent,,,
68,,,,,,,,,,,,,,,,,,,,,,,Alyssa,Harry,,,,Stafford,,,,,,,,,,,,,,,Superb,,,,,Columbine,Powerful,Waterfly,Erin,,,Columbine,,,,,,,,,,Powerful,,,
69,,,,,,,,,,,,,,,,,,,,,,,Abigail,Alan,,,,Stanley,,,,,,,,,,,,,,,Temeraire,,,,,Convolvulus,Terrible,Aphis,Agincourt,,,Convolvulus,,,,,,,,,,Terrible,,,
70,,,,,,,,,,,,,,,,,,,,,,,Julia,Eugene,,,,Steel,,,,,,,,,,,,,,,"St Vincent",,,,,Coreopsis,Diadem,Bee,"Iron Duke",,,Coreopsis,,,,,,,,,,Diadem,,,
71,,,,,,,,,,,,,,,,,,,,,,,Samantha,Frank,,,,Sterling,,,,,,,,,,,,,,,Collingwood,,,,,Coriander,Amphitrite,Cicala,Marlborough,,,Coriander,,,,,,,,,,Amphitrite,,,
72,,,,,,,,,,,,,,,,,,,,,,,Brooklyn,Craig,,,,Stevens,,,,,,,,,,,,,,,Vanguard,,,,,Cowslip,Andromeda,Cockchafer,Benbow,,,Cowslip,,,,,,,,,,Andromeda,,,
73,,,,,,,,,,,,,,,,,,,,,,,Ashley,Jason,,,,Stone,,,,,,,,,,,,,,,Neptune,,,,,Crocus,Argonaut,Cricket,"Emperor of India",,,Crocus,,,,,,,,,,Argonaut,,,
74,,,,,,,,,,,,,,,,,,,,,,,Natalia,Harrison,,,,Sullivan,,,,,,,,,,,,,,,Hercules,,,,,Cyclamen,Europa,Glowworm,Canada,,,Cyclamen,,,,,,,,,,Europa,,,
75,,,,,,,,,,,,,,,,,,,,,,,Brianna,Connor,,,,Swanson,,,,,,,,,,,,,,,Orion,,,,,Dahlia,Niobe,Gnat,"Queen Elizabeth",,,Dahlia,,,,,,,,,,Niobe,,,
76,,,,,,,,,,,,,,,,,,,,,,,Chloe,Sean,,,,Sweeney,,,,,,,,,,,,,,,Monarch,,,,,Delphinium,Spartiate,Ladybird,"Warspite",,,Delphinium,,,,,,,,,,Spartiate,,,
77,,,,,,,,,,,,,,,,,,,,,,,Hailey,Cooper,,,,Swift,,,,,,,,,,,,,,,Conqueror,,,,,Dianella,Arrogant,Mantis,Valiant,,,Dianella,,,,,,,,,,Arrogant,,,
78,,,,,,,,,,,,,,,,,,,,,,,Lillian,Stanley,,,,Sykes,,,,,,,,,,,,,,,Thunderer,,,,,Dianthus,Furious,Moth,Barham,,,Dianthus,,,,,,,,,,Furious,,,
79,,,,,,,,,,,,,,,,,,,,,,,Judith,Calhoun,,,,Terrell,,,,,,,,,,,,,,,"King George V",,,,,Eglantine,Vindictive,Scarab,Malaya,,,Eglantine,,,,,,,,,,Vindictive,,,
80,,,,,,,,,,,,,,,,,,,,,,,Alison,Neil,,,,Thornton,,,,,,,,,,,,,,,Centurion,,,,,Erica,Pactolus,Tarantula,Resistance,,,Erica,,,,,,,,,,Pactolus,,,
81,,,,,,,,,,,,,,,,,,,,,,,Amanda,Jeffrey,,,,Tipton,,,,,,,,,,,,,,,Ajax,,,,,Eyebright,Pegasus,Swordfish,Nelson,,,Eyebright,,,,,,,,,,Pegasus,,,
82,,,,,,,,,,,,,,,,,,,,,,,Angela,Harold,,,,Turner,,,,,,,,,,,,,,,Audacious,,,,,Fennel,Perseus,Abelia,"Duke of York",,,Fennel,,,,,,,,,,Perseus,,,
83,,,,,,,,,,,,,,,,,,,,,,,Audrey,Raymond,,,,Tyler,,,,,,,,,,,,,,,Erin,,,,,"Fleur de Lys",Pioneer,Acanthus,Anson,,,"Fleur de Lys",,,,,,,,,,Pioneer,,,
84,,,,,,,,,,,,,,,,,,,,,,,Beatrice,Fred,,,,Underwood,,,,,,,,,,,,,,,Agincourt,,,,,Freesia,Pomone,Aconite,Howe,,,Freesia,,,,,,,,,,Pomone,,,
85,,,,,,,,,,,,,,,,,,,,,,,Brenda,Johnston,,,,Vincent,,,,,,,,,,,,,,,"Iron Duke",,,,,Fritillary,Prometheus,Alisma,Invincible,,,Fritillary,,,,,,,,,,Prometheus,,,
86,,,,,,,,,,,,,,,,,,,,,,,Bridget,Marshall,,,,Voight,,,,,,,,,,,,,,,Marlborough,,,,,Gardenia,Proserpine,Alyssum,Inflexible,,,Gardenia,,,,,,,,,,Proserpine,,,
87,,,,,,,,,,,,,,,,,,,,,,,Caroline,Silas,,,,Wade,,,,,,,,,,,,,,,Benbow,,,,,Genista,Pyramus,Amaranthus,Indomitable,,,Genista,,,,,,,,,,Pyramus,,,
88,,,,,,,,,,,,,,,,,,,,,,,Cassandra,Roy,,,,Washington,,,,,,,,,,,,,,,"Emperor of India",,,,,Gentian,Highflyer,Anchusa,Indefatigable,,,Gentian,,,,,,,,,,Highflyer,,,
89,,,,,,,,,,,,,,,,,,,,,,,Charity,Jesse,,,,Watts,,,,,,,,,,,,,,,Canada,,,,,Geranium,Hermes,Anemone,Lion,,,Geranium,,,,,,,,,,Hermes,,,
90,,,,,,,,,,,,,,,,,,,,,,,Cecilia,Ken,,,,O'Connor,,,,,,,,,,,,,,,"Queen Elizabeth",,,,,Gladiolus,Hyacinth,Arabis,"King George VI",,,Gladiolus,,,,,,,,,,Hyacinth,,,
91,,,,,,,,,,,,,,,,,,,,,,,Anne,Bruce,,,,O'Donnell,,,,,,,,,,,,,,,Warspite,,,,,Gloriosa,Challenger,Arbutus,,,,Gloriosa,,,,,,,,,,Challenger,,,
