namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Beketaten,Ankhefensekhmet,,"Menkaure, Lord of Worlds",,,,Khnums Ram,,,,,,,Hieracon,,,,,Ras Shield,,Besna,Anukets Hearth,,,Dagger of Ta-Bijet,Fist of Osiris,Dagger of Pelican,,Revelation of Thoth,,Khentekhtais Khopesh,Thermuthis,,,,,,,Imhoteps Brilliance,Rite of Hathor,Anhurs Vigil,,Nyuserre Inis Command,
,,,,,,,,,,,,,,,,,,,,,,Benerib,Ankhkherednefer,,"Mentuhotep, the Golden Falcon",,,,Shus Tempest,,,,,,,Avaris,,,,,Blood of Hetemit,,Meretseger,Anukets Bounty,,,Blade of Besna,Ras Fury,Astartes Chariot,,Thoths Secret,,Meretsegers Dagger,Meret,,,,,,,Eye of Thoth,Anukets Will,Horuss Spear,,Khonsus Steed,
,,,,,,,,,,,,,,,,,,,,,,Betrest,Anpuhotep,,"Tao, Mighty of Kas",,,,Bastets Grace,,,,,,,Tayu-djayet,,,,,Blade of Aten,,Khefthernebes,Rite of Hapi,,,Blood of Shemat-Khu,Amons Javelin,Blood of Anat,,Khonsus Utterance,,Apiss Khopesh,Heret-Kau,,,,,,,,Renenutets Will,Sets Rage,,Word of Ra,
,,,,,,,,,,,,,,,,,,,,,,Bintanath,Apophis,,"Kamose, Hand of Aten",,,,Gebs Stone,,,,,,,Djedet,,,,,Selkiss Javelin,,,Nepits Will,,,Blood of Serapis,Ras Vigil,Khesfus Chariot,,Thoths Horizon,,Shesmetets Javelin,Ihy,,,,,,,,Anukets Hearth,Blade of Neith,,Neferefres Command,
,,,,,,,,,,,,,,,,,,,,,,Djedjetamen,Ay,,"Ptolemy, Wisdom of the Ancients",,,,Anhurs Arrow,,,,,,,Edfu,,,,,Montus Arrow,,,Hapis Bounty,,,Dagger of Ahti,Hetemits Spear,Astartes Khopesh,,Khonsus Horizion,,Fist of Setcheh,Nebt-Mat,,,,,,,,Hapis Flood,Anhurs Rage,,Senusrets Barque,
,,,,,,,,,,,,,,,,,,,,,,Djefatnebti,Bakenkhonsu,,"Inaros, Ray of Amon",,,,Horuss Call,,,,,,,Khem,,,,,Osiriss Khopesh,,,Isiss Will,,,Blood of Hetepes-Sekhus,Hetemits Vigil,Hetepes-Sekhuss Fury,,,,Astis Vigil,An-tcher-f,,,,,,,,Hathors Will,Blood of Anhur,,Spirit of Den,
,,,,,,,,,,,,,,,,,,,,,,Djeseretnebti,Bakenranef,,"Seti, King of the Heavens",,,,Anukets Bow,,,,,,,Khasut,,,,,Blood of Aten,,,Rite of Nepit,,,Blade of Hedetet,Blade of Amon-Ra,Shesmetets Arrow,,,,Blood of Heryshaf,Tjenmyt,,,,,,,,Rite of Isis,Montus Spear,,Spirit of Senusret,
,,,,,,,,,,,,,,,,,,,,,,Duathathor,Bardiya,,,,,,Satets Pioneers,,,,,,,Hebenu,,,,,Sets Chariot,,,Renenutets Hearth,,,Amu-Aas Arrow,Horuss Arrow,Anheftas Arrow,,,,Wrath of Astarte,Heptet,,,,,,,,Renenutets Bounty,Ras Javelin,,Word of Khafre,
,,,,,,,,,,,,,,,,,,,,,,Gautseshen,Baufra,,,,,,Hapis Deluge,,,,,,,Qus,,,,,Neiths Khopesh,,,Hapis Will,,,Shesmetets Chariot,Anhurs Khopesh,Seblumekers Khopesh,,,,Shesmetets Rage,Sebiumeker,,,,,,,,Renenutets Hearth,Bastets Spear,,Voice of Hor-Aha,
,,,,,,,,,,,,,,,,,,,,,,Haankhes,Chephren,,,,,,Amuns Chosen,,,,,,,Thinis,,,,,Bastets Vigil,,,Rite of Hathor,,,Tawerets Shield,Wrath of Neith,Baals Spear,,,,Hetepes-Sekhuss Rage,Nebethetepet,,,,,,,,Isiss Bounty,Maahess Khopesh,,Will of Senusret,
,,,,,,,,,,,,,,,,,,,,,,Hathorhotep,Djedefhor,,,,,,Wadjs Wave,,,,,,,Zau,,,,,Montus Chariot,,,Renenutets Bounty,,,Heryshafs Shield,Atens Shield,Dagger of Meretseger,,,,Blade of Anhefta,Amathaunta,,,,,,,,Hathors Hearth,Anubiss Rage,,Breath of Djedre,
,,,,,,,,,,,,,,,,,,,,,,Hbnj,Djedefptah,,,,,,Atums Brilliance,,,,,,,Pachnamunis,,,,,Sets Rage,,,Hapis Hearth,,,Amu-Aas Rage,Sobeks Khopesh,Meretsegers Arrow,,,,Khesfus Shield,Anhefta,,,,,,,,Isiss Will,Amons Fury,,Voice of Senusret,
,,,,,,,,,,,,,,,,,,,,,,Hbny,Djedefre,,,,,,Sobeks Bite,,,,,,,Nekhen,,,,,Neiths Spear,,,Earth of Tatenen,,,Heryshafs Javelin,Blade of Neith,Mehens Rage,,,,Wrath of Pelican,Sopdet,,,,,,,,Nepits Bounty,Blood of Sekhmet,,Ras Steed,
,,,,,,,,,,,,,,,,,,,,,,Hekenuhedjet,Djedhor,,,,,,Amunets Heirs,,,,,,,Shashotep,,,,,Osiriss Dagger,,,Tatenens Bounty,,,Fist of Wepset,Fist of Bastet,Blade of Reshep,,,,Denwens Shield,Jupiter-Amun,,,,,,,,Hathors Bounty,Maahess Javelin,,Voice of Osiris,
,,,,,,,,,,,,,,,,,,,,,,Henutmehyt,Djedkare,,,,,,Anubiss Scourge,,,,,,,Per-Wadjet,,,,,Blade of Ra,,,Rite of Isis,,,Blade of Buchis,Montus Dagger,Blood of Meretseger,,,,Apeshs Arrow,Nefertari,,,,,,,,Hapis Will,Sets Javelin,,Nyuserre Inis Barque,
,,,,,,,,,,,,,,,,,,,,,,Henutmire,Djehutihotep,,,,,,Neiths Hunt,,,,,,,Iken,,,,,Atens Khopesh,,,Nepits Hearth,,,Dagger of Khentekhtai,Wrath of Anubis,Apiss Dagger,,,,Harmachiss Rage,Meretseger,,,,,,,,Anukets Bounty,Dagger of Sobek,,Hor-Ahas Chariot,
,,,,,,,,,,,,,,,,,,,,,,Henutsekhemu,Djoser,,,,,,Montus Khopesh,,,,,,,Djerty,,,,,Anhurs Khopesh,,,Hathors Hearth,,,Serkets Khopesh,Blood of Selkis,Khesfus Rage,,,,Blood of Ta-Bijet,Qetesh,,,,,,,,Hapis Bounty,Blood of Montu,,Word of Nyuserre Ini,
,,,,,,,,,,,,,,,,,,,,,,Henutsen,Harsiese,,,,,,Thoths Wisdom,,,,,,,Herwer,,,,,Amon-Ras Dagger,,,Tatenens Hearth,,,Ammits Khopesh,Blade of Sobek,Serapiss Dagger,,,,Wepsets Arrow,An-a-f,,,,,,,,Rite of Hapi,Bastets Vigil,,Word of Ptahshepses,
,,,,,,,,,,,,,,,,,,,,,,Henuttadesh,Heqaib,,,,,,Tefnuts Typhoon,,,,,,,Canopus,,,,,Sobeks Spear,,,Rite of Renenutet,,,Aanis Rage,Fist of Sekhmet,Shemat-Khus Fury,,,,Apiss Chariot,Sepa,,,,,,,,Hapis Hearth,Maahess Dagger,,Word of Djedre,
,,,,,,,,,,,,,,,,,,,,,,Henuttamehu,Hordjedef,,,,,,Khonsus Halo,,,,,,,Shedet,,,,,Montus Rage,,,Anukets Will,,,Wrath of Wepset,Anhurs Fury,Wepwawets Khopesh,,,,Blood of Mehen,Tutu,,,,,,,,Rite of Renenutet,Sobeks Vigil,,Nephthyss Barque,
,,,,,,,,,,,,,,,,,,,,,,Henuttaneb,Horemheb,,,,,,Ras Radiance,,,,,,,Soknopaiou Nesos,,,,,Fist of Ra,,,,,,Hetepes-Sekhuss Spear,Dagger of Hetemit,Nehebu-Kaus Dagger,,,,Pelicans Khopesh,Wepset,,,,,,,,,Atens Shield,,Hetepheress Chariot,
,,,,,,,,,,,,,,,,,,,,,,Henuttawy,Hotepsekhemwy,,,,,,Atens Light,,,,,,,Ipu,,,,,Ras Javelin,,,,,,Fist of Khentekhtai,Hetemits Shield,Dagger of Baal,,,,Fist of Reshep,Iw,,,,,,,,,Blood of Horus,,Spirit of Kagemni,
,,,,,,,,,,,,,,,,,,,,,,Herneith,Ibi,,,,,,Osiriss Reborn,,,,,,,Koptos,,,,,Blood of Horus,,,,,,Denwens Chariot,Fist of Montu,Pelicans Dagger,,,,Heryshafs Spear,Amenhotep,,,,,,,,,Blade of Set,,Horuss Barque,
,,,,,,,,,,,,,,,,,,,,,,Hetepenamun,Idu,,,,,,Maats Justice,,,,,,,Chenem-Waset,,,,,Hetemits Fury,,,,,,Blade of Kebehut,Blade of Set,Blood of Pelican,,,,Amu-Aas Khopesh,Apep,,,,,,,,,Osiriss Khopesh,,Dens Barque,
,,,,,,,,,,,,,,,,,,,,,,Hetepheres,Imouthēs,,,,,,Wadjets Hiss,,,,,,,Per-Atum,,,,,Atens Javelin,,,,,,Amu-Aas Spear,Neiths Fury,Khefthernebess Dagger,,,,Nehebu-Kaus Shield,Min,,,,,,,,,Blade of Ra,,Word of Kagemni,
,,,,,,,,,,,,,,,,,,,,,,Hetephernebti,Inykhnum,,,,,,,,,,,,,Pi-Ramesses,,,,,Horuss Arrow,,,,,,Fist of Hedetet,Blade of Osiris,Blade of Serapis,,,,Wrath of Setcheh,Uneg/Weneg,,,,,,,,,Horuss Fury,,Voice of Kagemni,
,,,,,,,,,,,,,,,,,,,,,,Hrere,Inyotef,,,,,,,,,,,,,Naqada,,,,,Osiriss Javelin,,,,,,Khefthernebess Khopesh,Neiths Javelin,Blade of Shentayet,,,,Shentayets Vigil,Fetket,,,,,,,,,Hetemits Fury,,Voice of Nephthys,
,,,,,,,,,,,,,,,,,,,,,,Inenek,Iry-Hor,,,,,,,,,,,,,Thonis,,,,,Horuss Chariot,,,,,,Serapiss Javelin,Selkiss Vigil,Dagger of Hedetet,,,,Harmachiss Vigil,Khesfu,,,,,,,,,Amons Chariot,,Voice of Neferirkare,
,,,,,,,,,,,,,,,,,,,,,,Isetemkheb,Iuseneb,,,,,,,,,,,,,Heliopolis,,,,,Selkiss Spear,,,,,,Mehens Vigil,Maahess Chariot,Fist of Shesmetet,,,,Shesmetets Khopesh,Besna,,,,,,,,,Menhits Javelin,,Neferirkares Barque,
,,,,,,,,,,,,,,,,,,,,,,Isetnofret,Joba,,,,,,,,,,,,,Per-Amun,,,,,Ras Vigil,,,,,,Shemat-Khus Dagger,Osiriss Dagger,Fist of Meretseger,,,,Khentekhtais Rage,Peteese,,,,,,,,,Horuss Chariot,,Khafres Command,
,,,,,,,,,,,,,,,,,,,,,,Joba,Ka,,,,,,,,,,,,,Naucratis,,,,,Sets Fury,,,,,,Blade of Taweret,Montus Spear,Heryshafs Khopesh,,,,Dagger of Hetepes-Sekhus,Kebehut,,,,,,,,,Bastets Shield,,Will of Ptahshepses,
,,,,,,,,,,,,,,,,,,,,,,Kanzuie,Kanefer,,,,,,,,,,,,,Dendera,,,,,Anubiss Fury,,,,,,Fist of Anat,Hetemits Fury,Wepsets Khopesh,,,,Wrath of Taweret,Amenhotep I,,,,,,,,,Wrath of Bastet,,Osiriss Command,
,,,,,,,,,,,,,,,,,,,,,,Khamerernebty,Khabawsokar,,,,,,,,,,,,,Nekheb,,,,,Horuss Fury,,,,,,Fist of Seblumeker,Wrath of Bastet,Pelicans Rage,,,,Fist of Wepset,Nebt-Shat,,,,,,,,,Osiriss Fury,,Will of Khentkaus,
,,,,,,,,,,,,,,,,,,,,,,Khedebneithirbinet,Khaemwaset,,,,,,,,,,,,,Sumenu,,,,,Hetemits Spear,,,,,,Anats Chariot,Anubiss Arrow,Blood of Anuke,,,,Blade of Wepset,Shenty,,,,,,,,,Neiths Fury,,Isiss Steed,
,,,,,,,,,,,,,,,,,,,,,,Khenemetibamun,Khaemweset,,,,,,,,,,,,,Timinhor,,,,,Dagger of Bastet,,,,,,Seblumekers Fury,Maahess Dagger,Khentekhtais Vigil,,,,Dagger of Khesfu,Ash,,,,,,,,,Maahess Chariot,,Voice of Den,
,,,,,,,,,,,,,,,,,,,,,,Khenemetneferhedjet,Khasekhemwy,,,,,,,,,,,,,Alexandria,,,,,Fist of Menhit,,,,,,Fist of Buchis,Blood of Anubis,Serapiss Chariot,,,,Anukes Chariot,Sah,,,,,,,,,Montus Javelin,,Spirit of Ra,
,,,,,,,,,,,,,,,,,,,,,,Khenthap,Khensu,,,,,,,,,,,,,Ptkheka,,,,,Sekhmets Dagger,,,,,,Blood of Ishtar,Montus Javelin,Wrath of Shentayet,,,,Khentekhtais Fury,Khenti-qerer,,,,,,,,,Fist of Maahes,,Spirit of Hor-Aha,
,,,,,,,,,,,,,,,,,,,,,,Khufuankh,Kheperkare,,,,,,,,,,,,,Madu,,,,,Anubiss Shield,,,,,,Fist of Astarte,Blood of Amon,Serapiss Spear,,,,Setchehs Javelin,Imhotep,,,,,,,,,Wrath of Anhur,,Ptahshepsess Command,
,,,,,,,,,,,,,,,,,,,,,,Kiya,Khepri,,,,,,,,,,,,,Thebes,,,,,Menhits Javelin,,,,,,Serkets Shield,Blood of Anhur,Wrath of Harmachis,,,,Wepsets Shield,Raet-Tawy,,,,,,,,,Fist of Osiris,,Kagemnis Command,
,,,,,,,,,,,,,,,,,,,,,,Maat-hor,Khueninpu,,,,,,,,,,,,,Djedu,,,,,Sekhmets Chariot,,,,,,Ishtars Spear,Maahess Fury,Pelicans Shield,,,,Blood of Heptet,Sefkhet-Abwy,,,,,,,,,Anhurs Fury,,Khufus Chariot,
,,,,,,,,,,,,,,,,,,,,,,Maathorneferure,Khufukhaf,,,,,,,,,,,,,Per-Bast,,,,,Amons Chariot,,,,,,Shesmetets Spear,Fist of Maahes,Harmachiss Dagger,,,,Fist of Mehen,Hedetet,,,,,,,,,Wrath of Amon-Ra,,Khafres Chariot,
,,,,,,,,,,,,,,,,,,,,,,Mayet,Koshari,,,,,,,,,,,,,Khemenu,,,,,Fist of Montu,,,,,,Blade of Pelican,Blade of Hetemit,Blade of Hetepes-Sekhus,,,,Fist of Hetepes-Sekhus,Babi,,,,,,,,,Dagger of Maahes,,Spirit of Mahen,
,,,,,,,,,,,,,,,,,,,,,,Mayetenaten,Menkaure,,,,,,,,,,,,,Semabehdet,,,,,Dagger of Osiris,,,,,,Anats Arrow,Sekhmets Javelin,Ishtars Chariot,,,,Wrath of Anat,Mafdet,,,,,,,,,Dagger of Selkis,,Will of Kagemni,
,,,,,,,,,,,,,,,,,,,,,,Meketaten,Menkheperre,,,,,,,,,,,,,Per-Sopdu,,,,,Neiths Javelin,,,,,,Seblumekers Shield,Atens Vigil,Besnas Vigil,,,,Hetepes-Sekhuss Vigil,Mnevis,,,,,,,,,Wrath of Neith,,Kagemnis Chariot,
,,,,,,,,,,,,,,,,,,,,,,Menmet,Mentuherkhepeshef,,,,,,,,,,,,,Buhen,,,,,Atens Spear,,,,,,Ammits Chariot,Blade of Amon,Anats Shield,,,,Apeshs Spear,Neferhotep,,,,,,,,,Hetemits Vigil,,Neferefres Chariot,
,,,,,,,,,,,,,,,,,,,,,,Meresamun,Mentuhotep,,,,,,,,,,,,,Qis,,,,,Blade of Osiris,,,,,,Ta-Bijets Shield,Maahess Javelin,Tawerets Javelin,,,,Blade of Ahti,Nehmetawy,,,,,,,,,Sobeks Shield,,Apeps Command,
,,,,,,,,,,,,,,,,,,,,,,Meres-nip,Meriiti,,,,,,,,,,,,,Per-Medjed,,,,,Bastets Shield,,,,,,Dagger of Apesh,Menhits Fury,Blood of Setcheh,,,,Ta-Bijets Chariot,Hu,,,,,,,,,Montus Chariot,,Voice of Khonsu,
,,,,,,,,,,,,,,,,,,,,,,Meret-isesi,Merneptah,,,,,,,,,,,,,Hermonthis,,,,,Ras Khopesh,,,,,,Dagger of Serket,Dagger of Set,Buchiss Arrow,,,,Ta-Bijets Khopesh,Werethekau,,,,,,,,,Blade of Sobek,,Mahens Barque,
,,,,,,,,,,,,,,,,,,,,,,Meretseger,Merysekhmet,,,,,,,,,,,,,Tepihu,,,,,Hetemits Vigil,,,,,,Anheftas Chariot,Sobeks Spear,Meretsegers Khopesh,,,,Baals Fury,Dua,,,,,,,,,Ras Chariot,,Will of Nyuserre Ini,
,,,,,,,,,,,,,,,,,,,,,,Merit,Mesen-ka,,,,,,,,,,,,,Tanis,,,,,Dagger of Set,,,,,,Ishtars Khopesh,Neiths Spear,Aanis Javelin,,,,Ishtars Javelin,Sesenet-Khu,,,,,,,,,Dagger of Amon,,Voice of Khafre,
,,,,,,,,,,,,,,,,,,,,,,Meritamen,Metjen,,,,,,,,,,,,,Asyut,,,,,Horuss Spear,,,,,,Apiss Arrow,Amons Arrow,Khefthernebess Rage,,,,Blade of Denwen,Ba-Ra,,,,,,,,,Dagger of Hetemit,,Hor-Ahas Steed,
,,,,,,,,,,,,,,,,,,,,,,Meritamun,Mina,,,,,,,,,,,,,Taremu,,,,,Montus Fury,,,,,,Dagger of Pelican,Osiriss Shield,Apiss Javelin,,,,Blade of Khentekhtai,Heryshaf,,,,,,,,,Blade of Sekhmet,,Word of Apep,
,,,,,,,,,,,,,,,,,,,,,,Meritaten,Minmose,,,,,,,,,,,,,Saka,,,,,Blade of Amon-Ra,,,,,,Blade of Nehebu-Kau,Bastets Dagger,Kebehuts Khopesh,,,,Khefthernebess Arrow,Hert-sefu-s,,,,,,,,,Neiths Arrow,,Breath of Hor-Aha,
,,,,,,,,,,,,,,,,,,,,,,Meritptah,Nakht,,,,,,,,,,,,,Ta-senet,,,,,Fist of Maahes,,,,,,Apeshs Chariot,Atens Fury,Khentekhtais Shield,,,,Resheps Dagger,Seret,,,,,,,,,Neiths Rage,,Word of Neferefre,
,,,,,,,,,,,,,,,,,,,,,,Merneith,Nakhtmut,,,,,,,,,,,,,Tjebu,,,,,Dagger of Amon-Ra,,,,,,Ahtis Vigil,Fist of Aten,Am-hehs Arrow,,,,Amu-Aas Shield,Hert-Nemmat-Set,,,,,,,,,Dagger of Neith,,Spirit of Hetepheres,
,,,,,,,,,,,,,,,,,,,,,,Meryt,Nakhtre,,,,,,,,,,,,,Seshesh,,,,,Blood of Amon,,,,,,Shemat-Khus Javelin,Osiriss Fury,Anheftas Shield,,,,Dagger of Astarte,Shentayet,,,,,,,,,Dagger of Amon-Ra,,Spirit of Nephthys,
,,,,,,,,,,,,,,,,,,,,,,Merytkhet,Narmer,,,,,,,,,,,,,Henen-nesut,,,,,Menhits Spear,,,,,,Fist of Heptet,Neiths Rage,Tawerets Arrow,,,,Anukes Arrow,Astennu,,,,,,,,,Bastets Dagger,,Spirit of Nyuserre Ini,
,,,,,,,,,,,,,,,,,,,,,,Merytmihapi,Nebemakhet,,,,,,,,,,,,,Hermopolis Parva,,,,,Menhits Fury,,,,,,Blade of Meretseger,Amons Fury,Wrath of Khesfu,,,,Hetepes-Sekhuss Khopesh,Ammit,,,,,,,,,Menhits Chariot,,Word of Osiris,
,,,,,,,,,,,,,,,,,,,,,,Merytnetjer,Nebmaatre,,,,,,,,,,,,,Menouthis,,,,,Blood of Montu,,,,,,Antis Shield,Fist of Menhit,Ta-Bijets Arrow,,,,Fist of Ta-Bijet,Sekhemus,,,,,,,,,Selkiss Javelin,,Breath of Horus,
,,,,,,,,,,,,,,,,,,,,,,Merytre,Nefer,,,,,,,,,,,,,Tjaru,,,,,Horuss Shield,,,,,,Blade of Astarte,Atens Javelin,Apeps Arrow,,,,Heptets Rage,Pesi,,,,,,,,,Blood of Hetemit,,Word of Hetepheres,
,,,,,,,,,,,,,,,,,,,,,,Mutemwiya,Neferhotep,,,,,,,,,,,,,Athribis,,,,,Fist of Anubis,,,,,,Wepsets Chariot,Amons Shield,Wepsets Fury,,,,Dagger of Shesmetet,Sekhat-Hor,,,,,,,,,Ras Khopesh,,Voice of Horus,
,,,,,,,,,,,,,,,,,,,,,,Mutmetjennefer,Neferirkare,,,,,,,,,,,,,Tamiat,,,,,Maahess Vigil,,,,,,Baals Chariot,Amon-Ras Spear,Heryshafs Fury,,,,Fist of Anti,Sepṭu,,,,,,,,,Wrath of Ra,,Hor-Ahas Barque,
