namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_second_names,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Bidziil,Kajika,Wolf,Flying Squirrel,Quanah Parker,,,Kopendae,,Yavapai,Shoshone,Jemez,Coushatta,Coushatta,Nauset,Inupiaq,Inupiaq,Piaroa,,Morning Star,Attacapa,Attacapa,Attacapa,Amarok,Amarok,Amarok,Hunahpu,Hunahpu,Hunahpu,Hunahpu,,,,Mound Builders,Mound Builders,Wiranath,Thunderbird,White Buffalo Calf Woman,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chenoa,Lomasi,Deer,Morning Dove,Cochise,,,Tatanka Iyotake,,Navajo,Ute,Isleta,Quapaw,Quapaw,Massachusett,Iñupiaq,Iñupiaq,Yanomami,,Thunderbird,Attawapiskat,Attawapiskat,Attawapiskat,Cipactli,Cipactli,Cipactli,Ishkitini,Ishkitini,Ishkitini,Ishkitini,,,,Red Horn,Red Horn,Dzalarhons,Heng,Seven Arrows,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chepi,Makya,Horse,Spotted Tail,Wovoka,,,Hashkeji,,Apache,Goshute,San Felipe,Osage,Osage,Patuxet,Koyukon,Koyukon,Pemon,,Dancing Leaf,Aymara,Aymara,Aymara,Coyotl,Coyotl,Coyotl,Kamapuaa,Kamapuaa,Kamapuaa,Kamapuaa,,,,Thunderbird,Thunderbird,Black Elk,Yucatan,The Trickster,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Catori,Nakoma,Bird,Corn Tassel,Black Kettle,,,Wewetumwet,,Pima,Washoe,Santo Domingo,Ponca,Ponca,Pokanoket,Kuskokwim,Kuskokwim,Kuna,,Gray Fox,Aztec,Aztec,Aztec,Dzunukwa,Dzunukwa,Dzunukwa,Kanaloa,Kanaloa,Kanaloa,Kanaloa,,,,Four Winds,Four Winds,Tlaloc,Napi,Heyoka,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chochmo,Osage,Snake,New Moon,Hiawatha,,,Mishibizhiwag,,Tohono Oodham,Hualapai,Santa Clara,Omaha,Omaha,Shawomet,Nunamiut,Nunamiut,Embera,,Iron Horse,Bannock,Bannock,Bannock,Eeyeekalduk,Eeyeekalduk,Eeyeekalduk,Kane,Kane,Kane,Kane,,,,Turtle,Turtle,Mammoni,Ishkitini,The Four Winds,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Dena,Pannoowau,Tree,Grandmother Cedar,Powhatan,,,Gwadak,,Chemehuevi,Havasupai,Taos,Winnebago,Winnebago,Wappinger,Nunivak Cupig,Nunivak Cupig,Wounaan,,Lone Wolf,Bear River,Bear River,Bear River,Gulo,Gulo,Gulo,Ku,Ku,Ku,Ku,,,,Otter,Otter,Tawiscara,Tioleco,The White Eagle,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Dyami,Qaletaqa,Cloud,White Buffalo Calf Woman,Gall,,,Cunne Apalachee,,Mohave,Yavapai,Apache,Potawatomi,Sauk,Lenape,Sugpiaq,Sugpiaq,Chocó,,Blue Sky,Beothuk,Beothuk,Beothuk,Iktomi,Iktomi,Iktomi,Kukailimoku,Kukailimoku,Kukailimoku,Kukailimoku,,,,Crane,Crane,Pachacamac,Chibiabos,The Owl,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Editha,Redbird,Storm,Morning Glory,Red Jacket,,,Nemehee,,Quechan,Navajo,Havasupai,Menominee,Fox,Powhatan,Tanana,Tanana,Guaymí,,Swift Wind,Blackfoot,Blackfoot,Blackfoot,Inua,Inua,Inua,Kukulcan,Kukulcan,Kukulcan,Kukulcan,,,,Salmon,Salmon,,Yowa,Thunderbird,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Elu,Sachem,Snow,Deer Woman,Metacomet,,,Ite Omagazu,,Yuma,Apache,Hualapai,Ojibwe,Kickapoo,Mattaponi,Tlingit,Tlingit,Boruca,,Sunflower,Brothertown,Brothertown,Brothertown,Ishigaq,Ishigaq,Ishigaq,Lono,Lono,Lono,Lono,,,,Wolf,Wolf,,Kishi,The Blue Jay,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Enola,Tenskwatawa,Rain,Willow Tree,Crazy Snake,,,Maehpaa,,Cocopah,Pima,Yavapai,Sauk,Miami,Pamunkey,Unangan,Unangan,Bribri,,Black Bear,Caddo,Caddo,Caddo,Kushtaka,Kushtaka,Kushtaka,Masauwu,Masauwu,Masauwu,Masauwu,,,,Caribou,Caribou,,Moshup,The Hawk,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Enola,Usdi,Sun,,,,,Bear Hunting Party,,Cahuilla,Tohono Oodham,Tonto,Fox,Shawnee,Chickahominy,Yupik,Yupik,Cabécar,,River Song,Cahokia,Cahokia,Cahokia,Manabozho,Manabozho,Manabozho,Mictlantecuhtli,Mictlantecuhtli,Mictlantecuhtli,Mictlantecuhtli,,,,Deer,Deer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Galilahi,Virgil,Moon,,,,,Wolf Hunters,,Kumeyaay,Hopi,White Mountain,Kickapoo,Delaware,Nansemond,,,Talamancan,,Little Blossom,Cahuilla,Cahuilla,Cahuilla,Malsumis,Malsumis,Malsumis,Mixcoatl,Mixcoatl,Mixcoatl,Mixcoatl,,,,Bear,Bear,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Genevieve,Waban,Star,,,,,Warriors,,Luiseno,Zuni,San Carlos,Miami,Powhatan,Nottoway,,,Kogi,,Thundering Hooves,Catawba,Catawba,Catawba,Nihancan,Nihancan,Nihancan,Montezuma,Montezuma,Montezuma,Montezuma,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gvantsa,Xanto,Sky,,,,,Elk Hunters,,Cupeno,Laguna,Jicarilla,Shawnee,Nottoway,Lumbee,,,Arhuaco,,Wild Rose,Cayuga,Cayuga,Cayuga,Nimerigar,Nimerigar,Nimerigar,Pele,Pele,Pele,Pele,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Halona,Yuma,Earth,,,,,Deer Soldiers,,Paiute,Jemez,Mescalero,Delaware,Tuscarora,Meherrin,,,Wayuu,,Firewalker,Cetanwakuwa,Cetanwakuwa,Cetanwakuwa,Nukpana,Nukpana,Nukpana,Quetzalcoatl,Quetzalcoatl,Quetzalcoatl,Quetzalcoatl,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hinto,Zaltana,Water,,,,,Dog Soldiers,,Shoshone,Isleta,Shoshone,Narragansett,Catawba,Waccamaw-Siouan,,,Tikuna,,Silver Moon,Chasta Costa,Chasta Costa,Chasta Costa,Ogo,Ogo,Ogo,Selu,Selu,Selu,Selu,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Huali,Atsidi,Stone,,,,,Hunters,,Ute,San Felipe,Arapaho,Wampanoag,Yamasee,Coharie,,,Yanomamo,,Mountain Lion,Cherokee,Cherokee,Cherokee,Oniate,Oniate,Oniate,Tamoi,Tamoi,Tamoi,Tamoi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Istaqa,Bear,Rock,,,,,Deer Hunters,,Goshute,Santo Domingo,Ute,Mohegan,Guale,Catawba,,,Guajajara,,Morning Dew,Cheyenne,Cheyenne,Cheyenne,Paasselkädev,Paasselkädev,Paasselkädev,Tawa,Tawa,Tawa,Tawa,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Istas,Chayton,Hill,,,,,Antelope Hunters,,Paiute,Santa Clara,Cherokee,Pequot,Timucua,Cheraw,,,Tupinamba,,Gray Owl,Chickahominy,Chickahominy,Chickahominy,Pukwudgie,Pukwudgie,Pukwudgie,Tezcatlipoca,Tezcatlipoca,Tezcatlipoca,Tezcatlipoca,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Itzel,Dagan,Mountain,,,,,Seal Hunters,,Washoe,Taos,Lumbee,Penobscot,Apalachee,Yamassee,,,Xingu,,Spirit Bear,Chickasaw,Chickasaw,Chickasaw,Qalupalik,Qalupalik,Qalupalik,Tlahuizcalpantecuhtli,Tlahuizcalpantecuhtli,Tlahuizcalpantecuhtli,Tlahuizcalpantecuhtli,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jacinta,Elan,River,,,,,Buffalo Hunters,,,,,,,,,,,,Soft Wind,Chilcotin,Chilcotin,Chilcotin,Qaniujaaqpait,Qaniujaaqpait,Qaniujaaqpait,Tlaloc,Tlaloc,Tlaloc,Tlaloc,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jacy,Fynn,Creek,,,,,Buffalo Runners,,,,,,,,,,,,Blue Feather,Chimariko,Chimariko,Chimariko,Rugaru,Rugaru,Rugaru,Ussen,Ussen,Ussen,Ussen,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kai,Geronimo,Valley,,,,,Bear Hunters,,,,,,,,,,,,Rising Sun,Chinook,Chinook,Chinook,Skinwalker,Skinwalker,Skinwalker,Wakan Tanka,Wakan Tanka,Wakan Tanka,Wakan Tanka,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kanti,Halona,Marsh,,,,,Elk Hunters,,,,,,,,,,,,Laughing Brook,Chippewa,Chippewa,Chippewa,Taqriaqsuit,Taqriaqsuit,Taqriaqsuit,Xipe Totec,Xipe Totec,Xipe Totec,Xipe Totec,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kasa,Inali,Prairie,,,,,Water Panther Hunters,,,,,,,,,,,,Night Hawk,Chitimacha,Chitimacha,Chitimacha,Tizheruk,Tizheruk,Tizheruk,Yum Cimil,Yum Cimil,Yum Cimil,Yum Cimil,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kaya,Jadan,Desert,,,,,Deer Hunters,,,,,,,,,,,,Snowy Owl,Chochenyo,Chochenyo,Chochenyo,Utlunta,Utlunta,Utlunta,Yum Kaax,Yum Kaax,Yum Kaax,Yum Kaax,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kele,Keme,Wind,,,,,Warriors of the Swamp,,,,,,,,,,,,Red Cloud,Choctaw,Choctaw,Choctaw,Wabanaki,Wabanaki,Wabanaki,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kiona,Loyal,Thunder,,,,,Antelope Hunters,,,,,,,,,,,,Thundering Waters,Chumash,Chumash,Chumash,Wendigo,Wendigo,Wendigo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kiyana,Mankato,Lightning,,,,,Warriors of the Ité Flower,,,,,,,,,,,,Winter Wolf,Clatsop,Clatsop,Clatsop,Yee Naaldlooshii,Yee Naaldlooshii,Yee Naaldlooshii,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kizzy,Nantan,Fire,,,,,Hunters,,,,,,,,,,,,Quiet Thunder,Coahuiltec,Coahuiltec,Coahuiltec,Unktehi,Unktehi,Unktehi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Koda,Olathe,Ice,,,,,,,,,,,,,,,,,Moonlight,Coahuiltecan,Coahuiltecan,Coahuiltecan,Piasa,Piasa,Piasa,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Koko,Pekka,Frost,,,,,,,,,,,,,,,,,Mountain Wind,Cocopa,Cocopa,Cocopa,Horned Serpent,Horned Serpent,Horned Serpent,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lulu,Quidel,Frosty,,,,,,,,,,,,,,,,,Brave Heart,Columbia,Columbia,Columbia,Uktena,Uktena,Uktena,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Luyu,Rowtag,Frostman,,,,,,,,,,,,,,,,,Dancing Fire,Comanche,Comanche,Comanche,Misi-kinepikw,Misi-kinepikw,Misi-kinepikw,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mai,Satinka,Frostbite,,,,,,,,,,,,,,,,,Running Water,Comox,Comox,Comox,Mishi-ginebig,Mishi-ginebig,Mishi-ginebig,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Malia,Takoda,Frosthammer,,,,,,,,,,,,,,,,,Tall Oak,Coos,Coos,Coos,Kolowisi,Kolowisi,Kolowisi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Manitou,Uzumati,Frosthold,,,,,,,,,,,,,,,,,White Buffalo,Costanoan,Costanoan,Costanoan,Pukwudgie,Pukwudgie,Pukwudgie,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mika,Valtina,Frostwing,,,,,,,,,,,,,,,,,Sun Bear,Coushatta,Coushatta,Coushatta,Mngwa,Mngwa,Mngwa,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mila,Wanbli,Frostfang,,,,,,,,,,,,,,,,,Swift Arrow,Cowichan,Cowichan,Cowichan,Ahzi Dahaka,Ahzi Dahaka,Ahzi Dahaka,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mika,Xylon,Frostclaw,,,,,,,,,,,,,,,,,Cloud Dancer,Cowlitz,Cowlitz,Cowlitz,Chulyen,Chulyen,Chulyen,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Misty,Yansa,Frostblade,,,,,,,,,,,,,,,,,Wind Rider,Cree,Cree,Cree,Tlanusi,Tlanusi,Tlanusi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Naiara,Zane,Stormchaser,,,,,,,,,,,,,,,,,Starry Night,Creek,Creek,Creek,Ushuqtu,Ushuqtu,Ushuqtu,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nara,Ahanu,Stormcaller,,,,,,,,,,,,,,,,,Elk Runner,Crow,Crow,Crow,Wiindigoo,Wiindigoo,Wiindigoo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nashoba,Blade,Stormblade,,,,,,,,,,,,,,,,,Green Leaf,Crowsnest,Crowsnest,Crowsnest,Yamishibai,Yamishibai,Yamishibai,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nita,Catori,Stormwatcher,,,,,,,,,,,,,,,,,Red Rock,Cupeno,Cupeno,Cupeno,Zilant,Zilant,Zilant,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nokomis,Danté,Stormbreaker,,,,,,,,,,,,,,,,,Snowflake,Dakota,Dakota,Dakota,Haita,Haita,Haita,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Odina,Enyeto,Stormbringer,,,,,,,,,,,,,,,,,Standing Bear,Diegueno,Diegueno,Diegueno,Snake Woman,Snake Woman,Snake Woman,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Olathe,Fintan,Stormcrusher,,,,,,,,,,,,,,,,,Thunderbolt,Dogrib,Dogrib,Dogrib,Snake Monster,Snake Monster,Snake Monster,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Onawa,Galilahi,Thunderstrike,,,,,,,,,,,,,,,,,White Dove,Dunne-za,Dunne-za,Dunne-za,Adlet,Adlet,Adlet,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Onida,Hesutu,Thunderbolt,,,,,,,,,,,,,,,,,Big Sky,Eskimo,Eskimo,Eskimo,Yacumama,Yacumama,Yacumama,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Osceola,Ingo,Thunderheart,,,,,,,,,,,,,,,,,Bright Star,Etchemin,Etchemin,Etchemin,Amaru,Amaru,Amaru,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pakuna,Jarlath,Thunderstorm,,,,,,,,,,,,,,,,,Eagle Feather,Gabrielino,Gabrielino,Gabrielino,Feathered Serpent,Feathered Serpent,Feathered Serpent,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Palila,Kage,Thundercrash,,,,,,,,,,,,,,,,,Firefly,Ganeang Kwe,Ganeang Kwe,Ganeang Kwe,Yurlunggur,Yurlunggur,Yurlunggur,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Quidel,Laredo,Thunderclap,,,,,,,,,,,,,,,,,Forest Spirit,Garifuna,Garifuna,Garifuna,Naitaka,Naitaka,Naitaka,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Quilie,Moketavato,Thunderwing,,,,,,,,,,,,,,,,,Morning Mist,Gila River,Gila River,Gila River,Abereggis,Abereggis,Abereggis,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Quanah,Nodin,Thundercloud,,,,,,,,,,,,,,,,,Ocean Wave,Gitxsan,Gitxsan,Gitxsan,Isonade,Isonade,Isonade,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rasha,Okhmhaka,Thunderfoot,,,,,,,,,,,,,,,,,Rain Song,Goshute,Goshute,Goshute,Amikuk,Amikuk,Amikuk,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ravenna,Paytah,Windrider,,,,,,,,,,,,,,,,,Sacred Spirit,Gros Ventre,Gros Ventre,Gros Ventre,Gorgon,Gorgon,Gorgon,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Roni,Quaashie,Windcaller,,,,,,,,,,,,,,,,,Stone Eagle,Haida,Haida,Haida,Apotamkin,Apotamkin,Apotamkin,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sani,Ren,Windstorm,,,,,,,,,,,,,,,,,Sacred Hawk,Haisla,Haisla,Haisla,Coatlicue,Coatlicue,Coatlicue,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sari,Sahale,Windwhisper,,,,,,,,,,,,,,,,,Autumn Rain,Han,Han,Han,Itztlacoliuhqui,Itztlacoliuhqui,Itztlacoliuhqui,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sequoia,Tatanka,Windchaser,,,,,,,,,,,,,,,,,Fire Keeper,Haudenosaunee,Haudenosaunee,Haudenosaunee,Xiuhcoatl,Xiuhcoatl,Xiuhcoatl,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shilah,Uchenna,Windwalker,,,,,,,,,,,,,,,,,Bluebird Sky,Heiltsuk,Heiltsuk,Heiltsuk,Quetzalcoatl,Quetzalcoatl,Quetzalcoatl,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sialeeds,Virgil,Windblade,,,,,,,,,,,,,,,,,Singing Wind,Hesquiaht,Hesquiaht,Hesquiaht,Cipactli,Cipactli,Cipactli,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Siku,Waki,Windrunner,,,,,,,,,,,,,,,,,Painted Sky,Hidatsa,Hidatsa,Hidatsa,Bakunawa,Bakunawa,Bakunawa,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sokanon,Xanthe,Sunflower,,,,,,,,,,,,,,,,,Iron Feather,Ho-chunk,Ho-chunk,Ho-chunk,,,,,,,,,,,,,,,,,,,,,,
